2026-02-11 02:18:43 | conductor_agent | INFO | Initialized embedding generator with model: text-embedding-3-small
2026-02-11 02:18:43 | conductor_agent | INFO | Initialized vector store at: C:\Users\jjc29\antigravity agent 1\conductor_agent\data\chroma_db
2026-02-11 02:18:43 | conductor_agent | INFO | Processing Antigravity conversations from: C:\Users\jjc29\.gemini\antigravity\brain
2026-02-11 02:18:43 | conductor_agent | INFO | Found 2 conversation directories
2026-02-11 02:18:43 | conductor_agent | WARNING | No messages found for conversation 660d40e6-0a37-463c-af8c-2669a71b530f
2026-02-11 02:18:43 | conductor_agent | INFO | Processed 1 conversations, 16 code snippets
2026-02-11 02:18:45 | conductor_agent | INFO | Loaded collection: conversations
2026-02-11 02:18:45 | conductor_agent | INFO | Adding 8 documents to conversations...
2026-02-11 02:18:46 | conductor_agent | INFO | Generating 8 embeddings (0 cached)
2026-02-11 02:18:50 | conductor_agent | ERROR | Error generating embeddings: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-02-12 20:10:53 | conductor_agent | INFO | Initialized embedding generator with model: text-embedding-3-small
2026-02-12 20:10:53 | conductor_agent | INFO | Initialized vector store at: C:\Users\jjc29\antigravity agent 1\conductor_agent\data\chroma_db
2026-02-12 20:10:53 | conductor_agent | INFO | Initialized conductor agent with model: gpt-4o-mini
2026-02-12 20:10:55 | conductor_agent | INFO | Initialized voice processor
2026-02-12 20:26:46 | conductor_agent | INFO | Received audio file: temp_audio\input_e2527c33-c6c3-4440-aed4-71f945485a2f.webm
2026-02-12 20:26:46 | conductor_agent | INFO | Transcribing audio file: temp_audio\input_e2527c33-c6c3-4440-aed4-71f945485a2f.webm
